game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,sb_number,total_points,margin
1999_21_STL_TEN,1999,SB,21,2000-01-30,Sunday,NA,STL,23,TEN,16,Neutral,-7,39,0,2000013000,919,NA,200001300oti,NA,200130010,NA,7,7,NA,NA,-7,NA,NA,48,NA,NA,0,dome,astroturf,NA,NA,00-0017200,00-0011024,Kurt Warner,Steve McNair,Dick Vermeil,Jeff Fisher,Bob McElwee,ATL00,Georgia Dome,33,39,7
2000_21_BAL_NYG,2000,SB,21,2001-01-28,Sunday,18:18,BAL,34,NYG,7,Neutral,-27,41,0,2001012800,1255,NA,200101280nyg,NA,210128019,NA,14,14,NA,NA,-3,NA,NA,33,NA,NA,0,outdoors,grass,65,8,00-0004293,00-0003292,Trent Dilfer,Kerry Collins,Brian Billick,Jim Fassel,Gerry Austin,TAM00,Raymond James Stadium,34,41,27
2001_21_STL_NE,2001,SB,21,2002-02-03,Sunday,18:40,STL,17,NE,20,Neutral,3,37,0,2002020300,18012,NA,200202030nwe,NA,220203017,NA,7,7,NA,NA,-14,NA,NA,52.5,NA,NA,0,dome,astroturf,NA,NA,00-0017200,00-0019596,Kurt Warner,Tom Brady,Mike Martz,Bill Belichick,Bernie Kukar,NOR00,Louisiana Superdome,35,37,3
2002_21_OAK_TB,2002,SB,21,2003-01-26,Sunday,18:18,OAK,21,TB,48,Neutral,27,69,0,2003012600,26317,NA,200301260rai,NA,230126027,NA,7,7,NA,NA,-3.5,NA,NA,44,NA,NA,0,outdoors,grass,81,0,00-0005741,00-0008442,Rich Gannon,Brad Johnson,Bill Callahan,Jon Gruden,Bill Carollo,SDG00,Qualcomm Stadium,36,69,27
2003_21_CAR_NE,2003,SB,21,2004-02-01,Sunday,18:25,CAR,29,NE,32,Neutral,3,61,0,2004020100,26652,NA,200402010car,NA,240201017,NA,14,14,NA,NA,7,NA,NA,38,NA,NA,0,closed,grass,NA,NA,00-0004161,00-0019596,Jake Delhomme,Tom Brady,John Fox,Bill Belichick,Ed Hochuli,HOU00,Reliant Stadium,37,61,3
2004_21_NE_PHI,2004,SB,21,2005-02-06,Sunday,18:30,NE,24,PHI,21,Neutral,-3,45,0,2005020600,27243,NA,200502060nwe,NA,250206021,NA,14,14,NA,NA,-7,NA,NA,47,NA,NA,0,outdoors,grass,59,12,00-0019596,00-0011022,Tom Brady,Donovan McNabb,Bill Belichick,Andy Reid,Terry McAulay,JAX00,Alltel Stadium,38,45,3
2005_21_SEA_PIT,2005,SB,21,2006-02-05,Sunday,18:30,SEA,10,PIT,21,Neutral,11,31,0,2006020500,28857,NA,200602050pit,NA,260205023,NA,14,14,NA,NA,4,NA,NA,47,NA,NA,0,dome,fieldturf,NA,NA,00-0007091,00-0022924,Matt Hasselbeck,Ben Roethlisberger,Mike Holmgren,Bill Cowher,Bill Leavy,DET00,Ford Field,39,31,11
2006_21_IND_CHI,2006,SB,21,2007-02-04,Sunday,18:25,IND,29,CHI,17,Neutral,-12,46,0,2007020400,29192,NA,200702040chi,4012,270204003,NA,14,14,-242,222,-6.5,-103,-105,47,-101,-109,0,outdoors,grass,67,10,00-0010346,00-0022121,Peyton Manning,Rex Grossman,Tony Dungy,Lovie Smith,Tony Corrente,MIA00,Dolphin Stadium,40,46,12
2007_21_NYG_NE,2007,SB,21,2008-02-03,Sunday,18:30,NYG,17,NE,14,Neutral,-3,31,0,2008020300,29526,NA,200802030nwe,997,280203017,NA,14,14,435,-475,12.5,-106,100,54.5,105,-115,0,closed,grass,NA,NA,00-0022803,00-0019596,Eli Manning,Tom Brady,Tom Coughlin,Bill Belichick,Mike Carey,PHO00,University of Phoenix Stadium,41,31,3
2008_21_PIT_ARI,2008,SB,21,2009-02-01,Sunday,18:31,PIT,27,ARI,23,Neutral,-4,50,0,2009020100,54465,NA,200902010crd,1329,290201022,NA,14,14,-230,210,-6.5,-103,-103,46.5,106,-116,0,outdoors,grass,66,1,00-0022924,00-0017200,Ben Roethlisberger,Kurt Warner,Mike Tomlin,Ken Whisenhunt,Terry McAulay,TAM00,Raymond James Stadium,42,50,4
